Cycle,IF,ID,EX,MEM,WB,Event
63,"MOV  t3, 4","SW   t3, 1(t1)","BUBBLE","BUBBLE","BUBBLE",""
64,"MOV  t3, 4","BUBBLE","SW   t3, 1(t1)","BUBBLE","BUBBLE",""
65,"MOV  t3, 4","BUBBLE","BUBBLE","SW   t3, 1(t1)","BUBBLE",""
66,"MOV  t3, 4","BUBBLE","BUBBLE","BUBBLE","SW   t3, 1(t1)",""
67,"SW   t3, 2(t1)","MOV  t3, 4","BUBBLE","BUBBLE","BUBBLE",""
68,"SW   t3, 2(t1)","BUBBLE","MOV  t3, 4","BUBBLE","BUBBLE",""
69,"SW   t3, 2(t1)","BUBBLE","BUBBLE","MOV  t3, 4","BUBBLE",""
70,"SW   t3, 2(t1)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, 4",""
71,"MOV  t3, 5","SW   t3, 2(t1)","BUBBLE","BUBBLE","BUBBLE",""
72,"MOV  t3, 5","BUBBLE","SW   t3, 2(t1)","BUBBLE","BUBBLE",""
73,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 2(t1)","BUBBLE",""
74,"MOV  t3, 5","BUBBLE","BUBBLE","BUBBLE","SW   t3, 2(t1)",""
75,"SW   t3, 3(t1)","MOV  t3, 5","BUBBLE","BUBBLE","BUBBLE",""
76,"SW   t3, 3(t1)","BUBBLE","MOV  t3, 5","BUBBLE","BUBBLE",""
77,"SW   t3, 3(t1)","BUBBLE","BUBBLE","MOV  t3, 5","BUBBLE",""
78,"SW   t3, 3(t1)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, 5",""
79,"MOV  s0, 120","SW   t3, 3(t1)","BUBBLE","BUBBLE","BUBBLE",""
80,"MOV  s0, 120","BUBBLE","SW   t3, 3(t1)","BUBBLE","BUBBLE",""
81,"MOV  s0, 120","BUBBLE","BUBBLE","SW   t3, 3(t1)","BUBBLE",""
82,"MOV  s0, 120","BUBBLE","BUBBLE","BUBBLE","SW   t3, 3(t1)",""
83,"MOV  t3, 0","MOV  s0, 120","BUBBLE","BUBBLE","BUBBLE",""
