Cycle,IF,ID,EX,MEM,WB,Event
273,"ADDI t1, t1, 1","ADDI t0, t0, 1","BUBBLE","BUBBLE","BUBBLE",""
274,"ADDI t1, t1, 1","BUBBLE","ADDI t0, t0, 1","BUBBLE","BUBBLE",""
275,"ADDI t1, t1, 1","BUBBLE","BUBBLE","ADDI t0, t0, 1","BUBBLE",""
276,"ADDI t1, t1, 1","BUBBLE","BUBBLE","BUBBLE","ADDI t0, t0, 1",""
277,"ADDI t2, t2, -1","ADDI t1, t1, 1","BUBBLE","BUBBLE","BUBBLE",""
278,"ADDI t2, t2, -1","BUBBLE","ADDI t1, t1, 1","BUBBLE","BUBBLE",""
279,"ADDI t2, t2, -1","BUBBLE","BUBBLE","ADDI t1, t1, 1","BUBBLE",""
280,"ADDI t2, t2, -1","BUBBLE","BUBBLE","BUBBLE","ADDI t1, t1, 1",""
281,"JMP  LOOP_ZMUL","ADDI t2, t2, -1","BUBBLE","BUBBLE","BUBBLE",""
282,"JMP  LOOP_ZMUL","BUBBLE","ADDI t2, t2, -1","BUBBLE","BUBBLE",""
283,"JMP  LOOP_ZMUL","BUBBLE","BUBBLE","ADDI t2, t2, -1","BUBBLE",""
284,"JMP  LOOP_ZMUL","BUBBLE","BUBBLE","BUBBLE","ADDI t2, t2, -1",""
285,"BZERO t2, PART2","JMP  LOOP_ZMUL","BUBBLE","BUBBLE","BUBBLE",""
286,"BZERO t2, PART2","BUBBLE","JMP  LOOP_ZMUL","BUBBLE","BUBBLE",""
287,"BZERO t2, PART2","BUBBLE","BUBBLE","JMP  LOOP_ZMUL","BUBBLE",""
288,"BZERO t2, PART2","BUBBLE","BUBBLE","BUBBLE","JMP  LOOP_ZMUL",""
289,"LW   t3, 0(t0)","BZERO t2, PART2","BUBBLE","BUBBLE","BUBBLE",""
290,"LW   t3, 0(t0)","BUBBLE","BZERO t2, PART2","BUBBLE","BUBBLE",""
291,"MOV  t6, 0","MOV  s0, 120","BUBBLE","BUBBLE","BUBBLE",""
292,"MOV  t6, 0","BUBBLE","MOV  s0, 120","BUBBLE","BUBBLE",""
293,"MOV  t6, 0","BUBBLE","BUBBLE","MOV  s0, 120","BUBBLE",""
294,"MOV  t6, 0","BUBBLE","BUBBLE","BUBBLE","MOV  s0, 120",""
295,"MOV  s1, -1","MOV  t6, 0","BUBBLE","BUBBLE","BUBBLE",""
296,"MOV  s1, -1","BUBBLE","MOV  t6, 0","BUBBLE","BUBBLE",""
297,"MOV  s1, -1","BUBBLE","BUBBLE","MOV  t6, 0","BUBBLE",""
298,"MOV  s1, -1","BUBBLE","BUBBLE","BUBBLE","MOV  t6, 0",""
299,"LNZ  t3, 0(s0)","MOV  s1, -1","BUBBLE","BUBBLE","BUBBLE",""
300,"LNZ  t3, 0(s0)","BUBBLE","MOV  s1, -1","BUBBLE","BUBBLE",""
301,"LNZ  t3, 0(s0)","BUBBLE","BUBBLE","MOV  s1, -1","BUBBLE",""
302,"LNZ  t3, 0(s0)","BUBBLE","BUBBLE","BUBBLE","MOV  s1, -1",""
303,"BEQ  t3, s1, DONE","LNZ  t3, 0(s0)","BUBBLE","BUBBLE","BUBBLE",""
304,"BEQ  t3, s1, DONE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE","BUBBLE",""
305,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE",""
306,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE","Stall (Memory)"
307,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE",""
308,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE","Stall (Memory)"
309,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE",""
310,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)",""
311,"ADD  t6, t6, t3","BEQ  t3, s1, DONE","BUBBLE","BUBBLE","BUBBLE",""
312,"ADD  t6, t6, t3","BUBBLE","BEQ  t3, s1, DONE","BUBBLE","BUBBLE",""
313,"ADD  t6, t6, t3","BUBBLE","BUBBLE","BEQ  t3, s1, DONE","BUBBLE",""
314,"ADD  t6, t6, t3","BUBBLE","BUBBLE","BUBBLE","BEQ  t3, s1, DONE",""
315,"JMP  LOOP_LNZ","ADD  t6, t6, t3","BUBBLE","BUBBLE","BUBBLE",""
316,"JMP  LOOP_LNZ","BUBBLE","ADD  t6, t6, t3","BUBBLE","BUBBLE",""
317,"JMP  LOOP_LNZ","BUBBLE","BUBBLE","ADD  t6, t6, t3","BUBBLE",""
318,"JMP  LOOP_LNZ","BUBBLE","BUBBLE","BUBBLE","ADD  t6, t6, t3",""
319,"HALT","JMP  LOOP_LNZ","BUBBLE","BUBBLE","BUBBLE",""
320,"HALT","BUBBLE","JMP  LOOP_LNZ","BUBBLE","BUBBLE",""
321,"BEQ  t3, s1, DONE","LNZ  t3, 0(s0)","BUBBLE","BUBBLE","BUBBLE",""
322,"BEQ  t3, s1, DONE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE","BUBBLE",""
323,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE",""
324,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE","Stall (Memory)"
325,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE",""
326,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)",""
327,"ADD  t6, t6, t3","BEQ  t3, s1, DONE","BUBBLE","BUBBLE","BUBBLE",""
328,"ADD  t6, t6, t3","BUBBLE","BEQ  t3, s1, DONE","BUBBLE","BUBBLE",""
329,"ADD  t6, t6, t3","BUBBLE","BUBBLE","BEQ  t3, s1, DONE","BUBBLE",""
330,"ADD  t6, t6, t3","BUBBLE","BUBBLE","BUBBLE","BEQ  t3, s1, DONE",""
331,"JMP  LOOP_LNZ","ADD  t6, t6, t3","BUBBLE","BUBBLE","BUBBLE",""
332,"JMP  LOOP_LNZ","BUBBLE","ADD  t6, t6, t3","BUBBLE","BUBBLE",""
333,"JMP  LOOP_LNZ","BUBBLE","BUBBLE","ADD  t6, t6, t3","BUBBLE",""
334,"JMP  LOOP_LNZ","BUBBLE","BUBBLE","BUBBLE","ADD  t6, t6, t3",""
335,"LNZ  t3, 0(s0)","JMP  LOOP_LNZ","BUBBLE","BUBBLE","BUBBLE",""
336,"LNZ  t3, 0(s0)","BUBBLE","JMP  LOOP_LNZ","BUBBLE","BUBBLE",""
337,"LNZ  t3, 0(s0)","BUBBLE","BUBBLE","JMP  LOOP_LNZ","BUBBLE",""
338,"LNZ  t3, 0(s0)","BUBBLE","BUBBLE","BUBBLE","JMP  LOOP_LNZ",""
339,"BEQ  t3, s1, DONE","LNZ  t3, 0(s0)","BUBBLE","BUBBLE","BUBBLE",""
340,"BEQ  t3, s1, DONE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE","BUBBLE",""
341,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)","BUBBLE",""
342,"BEQ  t3, s1, DONE","BUBBLE","BUBBLE","BUBBLE","LNZ  t3, 0(s0)",""
343,"ADD  t6, t6, t3","BEQ  t3, s1, DONE","BUBBLE","BUBBLE","BUBBLE",""
344,"ADD  t6, t6, t3","BUBBLE","BEQ  t3, s1, DONE","BUBBLE","BUBBLE",""
345,"HALT","HALT","BUBBLE","BUBBLE","BUBBLE",""
346,"HALT","BUBBLE","HALT","BUBBLE","BUBBLE",""
347,"HALT","BUBBLE","BUBBLE","HALT","BUBBLE",""
348,"HALT","BUBBLE","BUBBLE","BUBBLE","HALT",""
