
+-------+--------------+--------------+--------------+--------------+--------------+-----+
| Cycle |      IF      |      ID      |      EX      |     MEM      |      WB      | Evt |
| 53    | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. | BEQ t0, t6.. | S |
| 54    | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. |   ----       | S |
| 55    | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. |   ----       | S |
| 56    | BEQ t0, t6.. | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. |   |
| 57    | LNZ t1, 0(.. | BEQ t0, t6.. | JMP loop     | ADD s0, s0.. |   ----       |   |
| 58    | ADD s0, s0.. | LNZ t1, 0(.. | BEQ t0, t6.. | JMP loop     | ADD s0, s0.. |   |
| 59    | JMP loop     | ADD s0, s0.. | LNZ t1, 0(.. | BEQ t0, t6.. | JMP loop     |   |
| 60    | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. | BEQ t0, t6.. | S |
| 61    | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. |   ----       | S |
| 62    | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. |   ----       | S |
| 63    | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. |   ----       | S |
| 64    | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. |   ----       | S |
| 65    | BEQ t0, t6.. | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. |   |
| 66    | LNZ t1, 0(.. | BEQ t0, t6.. | JMP loop     | ADD s0, s0.. |   ----       |   |
| 67    | ADD s0, s0.. | LNZ t1, 0(.. | BEQ t0, t6.. | JMP loop     | ADD s0, s0.. |   |
| 68    | JMP loop     | ADD s0, s0.. | LNZ t1, 0(.. | BEQ t0, t6.. | JMP loop     |   |
| 69    | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. | BEQ t0, t6.. | S |
| 70    | BEQ t0, t6.. | JMP loop     | ADD s0, s0.. |   ----       | LNZ t1, 0(.. |   |
| 71    | LNZ t1, 0(.. | BEQ t0, t6.. | JMP loop     | ADD s0, s0.. |   ----       |   |
| 72    | ADD s0, s0.. | LNZ t1, 0(.. | BEQ t0, t6.. | JMP loop     | ADD s0, s0.. |   |
| 73    | HALT         | VLOAD v0, .. |   ----       |   ----       | JMP loop     |   |
| 74    | HALT         | HALT         | VLOAD v0, .. |   ----       |   ----       |   |
| 75    | HALT         | HALT         | HALT         | VLOAD v0, .. |   ----       |   |
| 76    | HALT         | HALT         | HALT         | HALT         | VLOAD v0, .. |   |
| 77    | HALT         | HALT         | HALT         | HALT         | HALT         |   |
+-------+--------------+--------------+--------------+--------------+--------------+-----+
Legend: S = Stall, F = Flush, ---- = Bubble
Total Cycles: 78
